time,temp_avg,p_total
18147600.0,294.4246936147114,5665.7773
18151200.0,294.66287000602625,1387.5525
18154800.0,294.7968593415384,611.6074
18158400.0,294.84691935680576,455.247
18162000.0,294.8841773579476,352.61807
18165600.0,294.9318585685448,288.45184
18169200.0,294.9863713268586,205.52551
18172800.0,295.05727007557374,113.84946
18176400.0,295.72998722993395,43.91842
18180000.0,293.52108599230235,0.0
18183600.0,293.85603989007757,3571.1519
18187200.0,293.9887356966701,2234.0093
18190800.0,294.0718237918624,1767.1057
18194400.0,294.13583487193074,1597.7415
18198000.0,294.1702577187319,1634.5
18201600.0,294.1743014863788,1855.6691
18205200.0,294.1643623491738,2143.103
18208800.0,294.1193790082343,2468.4563
18212400.0,294.0673882876251,2918.622
18216000.0,295.0338603929933,3470.3428
18219600.0,295.0411173336821,1673.789
18223200.0,294.9483521085983,1791.6185
18226800.0,294.92826673449116,2107.5962
18230400.0,294.90832279510397,2256.9614
18234000.0,294.88912893077776,2413.32
18237600.0,294.92510074269813,2498.0234
18241200.0,294.9745518582523,2436.9614
18244800.0,294.91877521483764,2369.7058
18248400.0,294.9768868986894,2416.8235
18252000.0,295.0126729500082,2117.0825
18255600.0,294.9868322154626,1740.1742
18259200.0,294.99971024429703,1465.6338
18262800.0,295.8034107200841,1146.616
18266400.0,294.3983875092438,361.5642
18270000.0,294.39206128799253,2221.8157
18273600.0,294.57853144455396,2132.4932
18277200.0,294.70140495397095,1968.503
18280800.0,294.7040991143526,2009.5204
18284400.0,294.7011400101705,2280.1785
18288000.0,294.56154371442005,2501.6604
18291600.0,294.466298291601,2949.3308
18295200.0,294.26563784747816,3207.973
18298800.0,293.9705763433261,3614.9077
18302400.0,294.2715756870207,4339.7876
18306000.0,294.15512100232354,3383.2915
18309600.0,294.0612166918237,3695.8716
18313200.0,293.9549964016129,3956.9712
18316800.0,293.8561821670865,4318.934
